benchmark,run,objective_a,objective_b,n_solutions,spearman_rho
CyberShake_1000,16,cost,energy,128,0.9178092382347555
CyberShake_1000,17,makespan,latency,132,0.5460645518161218
CyberShake_1000,17,makespan,cost,132,-0.8947012101413523
CyberShake_1000,17,makespan,energy,132,-0.781177888603689
CyberShake_1000,17,latency,cost,132,-0.7621847818714028
CyberShake_1000,17,latency,energy,132,-0.7546346782988003
CyberShake_1000,17,cost,energy,132,0.8948151085555663
CyberShake_1000,18,makespan,latency,137,0.4343495863826916
CyberShake_1000,18,makespan,cost,137,-0.8892552533656237
CyberShake_1000,18,makespan,energy,137,-0.8677564259652362
CyberShake_1000,18,latency,cost,137,-0.6697126962495565
CyberShake_1000,18,latency,energy,137,-0.7150671122146096
CyberShake_1000,18,cost,energy,137,0.9340312132469618
CyberShake_1000,19,makespan,latency,126,0.6283573404072976
CyberShake_1000,19,makespan,cost,126,-0.9038977244816805
CyberShake_1000,19,makespan,energy,126,-0.853596861186776
CyberShake_1000,19,latency,cost,126,-0.8256377952755907
CyberShake_1000,19,latency,energy,126,-0.860655418072741
CyberShake_1000,19,cost,energy,126,0.9493543307086614
CyberShake_1000,20,makespan,latency,126,0.5654065647445427
CyberShake_1000,20,makespan,cost,126,-0.8883516187097835
CyberShake_1000,20,makespan,energy,126,-0.8775378893226825
CyberShake_1000,20,latency,cost,126,-0.798029246344207
CyberShake_1000,20,latency,energy,126,-0.8155230596175479
CyberShake_1000,20,cost,energy,126,0.9383097112860893
Montage_1000,1,makespan,latency,130,0.08840510837299183
Montage_1000,1,makespan,cost,130,-0.879391714738466
Montage_1000,1,makespan,energy,130,-0.5909341679798302
Montage_1000,1,latency,cost,130,-0.41863469390541996
Montage_1000,1,latency,energy,130,-0.5991151046716464
Montage_1000,1,cost,energy,130,0.7435059880648377
Montage_1000,2,makespan,latency,129,0.38273530505321995
Montage_1000,2,makespan,cost,129,-0.9272666795281068
Montage_1000,2,makespan,energy,129,-0.7038369405129813
Montage_1000,2,latency,cost,129,-0.6097775044722721
Montage_1000,2,latency,energy,129,-0.7064736135957067
Montage_1000,2,cost,energy,129,0.8206283542039358
Montage_1000,3,makespan,latency,128,0.1741496520783739
Montage_1000,3,makespan,cost,128,-0.8049292711957517
Montage_1000,3,makespan,energy,128,-0.6706818806079472
Montage_1000,3,latency,cost,128,-0.5643597784288592
Montage_1000,3,latency,energy,128,-0.5743796923640359
Montage_1000,3,cost,energy,128,0.7445522798022339
Montage_1000,4,makespan,latency,108,0.0539886535234031
Montage_1000,4,makespan,cost,108,-0.918259635227368
Montage_1000,4,makespan,energy,108,-0.6556949121937078
Montage_1000,4,latency,cost,108,-0.2826031038326331
Montage_1000,4,latency,energy,108,-0.3793954290396029
Montage_1000,4,cost,energy,108,0.7336496232149151
Montage_1000,5,makespan,latency,123,0.08407604700055461
Montage_1000,5,makespan,cost,123,-0.8392256000825477
Montage_1000,5,makespan,energy,123,-0.5879003237414712
Montage_1000,5,latency,cost,123,-0.4695347667384659
Montage_1000,5,latency,energy,123,-0.6309282738517497
Montage_1000,5,cost,energy,123,0.7892133469192969
Montage_1000,6,makespan,latency,124,0.16274455191924464
Montage_1000,6,makespan,cost,124,-0.8319006009461141
Montage_1000,6,makespan,energy,124,-0.6306729042854452
Montage_1000,6,latency,cost,124,-0.547153422501967
Montage_1000,6,latency,energy,124,-0.6877041699449252
Montage_1000,6,cost,energy,124,0.8367395751376868
Montage_1000,7,makespan,latency,115,-0.09323006876924439
Montage_1000,7,makespan,cost,115,-0.9181090432843623
Montage_1000,7,makespan,energy,115,-0.7636264642467082
Montage_1000,7,latency,cost,115,-0.15864436202951157
Montage_1000,7,latency,energy,115,-0.33900418211946665
Montage_1000,7,cost,energy,115,0.8607117493884637
Montage_1000,8,makespan,latency,129,0.038757934811015714
Montage_1000,8,makespan,cost,129,-0.8614318577623594
Montage_1000,8,makespan,energy,129,-0.5290656559324558
Montage_1000,8,latency,cost,129,-0.3785163237924866
Montage_1000,8,latency,energy,129,-0.48655523255813965
Montage_1000,8,cost,energy,129,0.6363092576028624
Montage_1000,9,makespan,latency,116,0.021919851458640924
Montage_1000,9,makespan,cost,116,-0.8835560749566067
Montage_1000,9,makespan,energy,116,-0.7116032591472401
Montage_1000,9,latency,cost,116,-0.3325644869872756
Montage_1000,9,latency,energy,116,-0.4899319570983739
Montage_1000,9,cost,energy,116,0.8107407834544267
Montage_1000,10,makespan,latency,116,-0.07853011673046593
Montage_1000,10,makespan,cost,116,-0.8393165711709104
Montage_1000,10,makespan,energy,116,-0.6320351978545444
Montage_1000,10,latency,cost,116,-0.31823319109675935
Montage_1000,10,latency,energy,116,-0.501810633144966
Montage_1000,10,cost,energy,116,0.8208588013685466
Montage_1000,11,makespan,latency,126,0.1267262997543603
Montage_1000,11,makespan,cost,126,-0.8402295334081499
Montage_1000,11,makespan,energy,126,-0.5125145483331477
Montage_1000,11,latency,cost,126,-0.4805309336332959
Montage_1000,11,latency,energy,126,-0.595302587176603
Montage_1000,11,cost,energy,126,0.709960254968129
Montage_1000,12,makespan,latency,122,-0.17200420989348392
Montage_1000,12,makespan,cost,122,-0.8058442835179139
Montage_1000,12,makespan,energy,122,-0.45140365573444785
Montage_1000,12,latency,cost,122,-0.29463586466239955
Montage_1000,12,latency,energy,122,-0.49991573618486485
Montage_1000,12,cost,energy,122,0.7863135737440561
Montage_1000,13,makespan,latency,119,0.06744053553624842
Montage_1000,13,makespan,cost,119,-0.8307007548782227
Montage_1000,13,makespan,energy,119,-0.47138584247258236
Montage_1000,13,latency,cost,119,-0.49109813416892184
Montage_1000,13,latency,energy,119,-0.5748041589517163
Montage_1000,13,cost,energy,119,0.740521293263068
Montage_1000,14,makespan,latency,117,-0.11214056909581727
Montage_1000,14,makespan,cost,117,-0.7693835116102177
Montage_1000,14,makespan,energy,117,-0.5238821347656795
Montage_1000,14,latency,cost,117,-0.3493758335955881
Montage_1000,14,latency,energy,117,-0.49443270542043183
Montage_1000,14,cost,energy,117,0.7356846348663999
Montage_1000,15,makespan,latency,121,0.05601544506164475
Montage_1000,15,makespan,cost,121,-0.8378133044302939
Montage_1000,15,makespan,energy,121,-0.56803956103509
Montage_1000,15,latency,cost,121,-0.42123018561170555
Montage_1000,15,latency,energy,121,-0.6073973716298603
Montage_1000,15,cost,energy,121,0.7668811814117326
Montage_1000,16,makespan,latency,122,0.16747736435224608
Montage_1000,16,makespan,cost,122,-0.8661853149211262
Montage_1000,16,makespan,energy,122,-0.7961073293282511
Montage_1000,16,latency,cost,122,-0.48640709005653937
Montage_1000,16,latency,energy,122,-0.5391000624543572
Montage_1000,16,cost,energy,122,0.8429586842948771
Montage_1000,17,makespan,latency,128,0.12980108954403954
Montage_1000,17,makespan,cost,128,-0.8099535341512543
Montage_1000,17,makespan,energy,128,-0.48634064273942496
Montage_1000,17,latency,cost,128,-0.5709004761032778
Montage_1000,17,latency,energy,128,-0.713016160043948
Montage_1000,17,cost,energy,128,0.7976332173594578
Montage_1000,18,makespan,latency,119,-0.04246546076057542
Montage_1000,18,makespan,cost,119,-0.8736932060959978
Montage_1000,18,makespan,energy,119,-0.5968309357641363
