source_file,benchmark,baseline,metric,direction,adare_n,adare_mean,adare_std,adare_median,adare_iqr,baseline_mean,baseline_std,baseline_median,baseline_iqr,gain_percent,paired_improvement_mean,paired_improvement_ci95_low,paired_improvement_ci95_high,wilcoxon_one_sided_p,holm_p,rank_biserial_paired
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,spacing,min,20,0.0644826863251822,0.007370806949194885,0.0663377926328427,0.009476312314317968,0.06440642047251352,0.006903977955335075,0.06327366844039586,0.009104026957625341,-0.11841343162554015,-7.626585266866867e-05,-0.004546424467264715,0.004694288810219869,0.635746955871582,1.0,-0.08571428571428572
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,time,min,20,4.627886495005805,0.12835425873609765,4.609123550035292,0.0746131250198232,4.463055804994656,0.052235943427223756,4.449556700012181,0.0811729749548249,-3.6932249385429134,-0.16483069001114928,-0.23736239426616518,-0.11272299326192296,1.0,1.0,-1.0
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,cost_best,min,20,1449.318095384616,222.07779595590335,1373.875364615385,84.52759615384639,1472.4790586923082,246.16235191480231,1364.994787692308,115.88048076923064,1.5729231034539184,23.160963307692146,-122.69481462115394,172.63851819999996,0.5938224792480469,1.0,-0.05714285714285714
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,coverage,max,20,0.09200669316858749,0.06280940959557876,0.0776380829572319,0.08346756872852232,0.10628756453310609,0.06312676953482668,0.09895833333333334,0.07508552875005584,-13.436069804826921,-0.014280871364518579,-0.06247384165171404,0.03371560858403796,0.7020902633666992,1.0,-0.13333333333333333
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,energy_best,min,20,31487800.031923067,322459.73451923236,31451602.82692307,443974.75961538404,31574256.949999996,428443.11125775415,31569412.74615384,731957.8038461544,0.2738209111740592,86456.918076922,-146976.82618269377,319167.147461539,0.24900436401367188,1.0,0.18095238095238095
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,epsilon,min,20,0.1110424938458813,0.016440262835449998,0.10659422079722539,0.025178648230859274,0.11283447994458154,0.013054232024416527,0.11262450078555855,0.012489119565647772,1.588154701985039,0.0017919860987002747,-0.006790757527260259,0.010266448682626808,0.2979097366333008,1.0,0.14285714285714285
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,hv,max,20,0.8842339675905484,0.014193768171782311,0.8830090700459565,0.01922929462709788,0.8859570659783941,0.01143489193720967,0.8856448669824097,0.018247560566187704,-0.19449005533273775,-0.001723098387845745,-0.009725153649683368,0.006294995267841817,0.6628885269165039,1.0,-0.10476190476190476
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,igd,min,20,0.07636660888684886,0.003342415381495458,0.07608631495121186,0.004547279469156784,0.07624621593626345,0.003930608621064591,0.07578964393988782,0.0040137993493481045,-0.15790023033543468,-0.00012039295058539484,-0.002511630101299805,0.0022746180822721934,0.5652561187744141,1.0,-0.0380952380952381
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,latency_best,min,20,49787.14656245733,2033.456182635342,49419.082154667965,2294.9139255183254,49417.4444171893,1643.589568394725,49296.49079569262,2278.803836201907,-0.7481207286782277,-369.70214526802994,-1197.4066897076334,473.7227594708336,0.8441028594970703,1.0,-0.2571428571428571
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,makespan_best,min,20,11006.517516484375,279.1501104867014,10851.982605769232,373.1441631047164,11065.938011195012,299.6052026828221,10908.298375,666.6637326923064,0.5369675363310702,59.420494710636284,-104.55874000804215,224.70414534651297,0.1558971405029297,1.0,0.26666666666666666
