source_file,benchmark,algorithm,n,mean_objective_evaluations,std_objective_evaluations,median_objective_evaluations
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,QL-NSGA-III,20,7007.1,47.80761885989128,7006.5
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,QMOEA/D-AWA-style,20,3919.9,176.40023272451526,3896.5
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,ADARE,20,7002.1,43.328488258152305,7004.5
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,NSGA-III,20,6885.9,50.72516244688782,6887.5
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,OVEA-style,20,6036.3,271.0088559438603,6090.0
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,QL-NSGA-III,20,6969.5,38.879706518277224,6964.5
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,QMOEA/D-AWA-style,20,3903.2,233.51267293458108,3884.0
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,ADARE,20,7003.6,41.13827773177728,7005.0
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,NSGA-III,20,6925.15,47.83884680004207,6919.5
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,OVEA-style,20,6399.35,352.9005040935386,6487.0
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,QL-NSGA-III,20,6997.15,58.27184478576976,6988.0
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,QMOEA/D-AWA-style,20,3887.75,151.157942841951,3910.0
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,ADARE,20,7009.25,43.11169703285446,7010.0
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,NSGA-III,20,6933.35,47.37673757402355,6944.5
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,OVEA-style,20,6511.25,312.99737261382546,6628.0
