source_file,benchmark,component,n,mean_seconds,std_seconds,median_seconds,mean_percent_of_total
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,initialization,20,2.1718461249984102,0.0619607775566992,2.168248300004052,47.23472370935674
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,controller_selection,20,0.04431548471620772,0.000880581724604113,0.04418279972742312,0.9638020173357473
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,mutation_and_local_repair,20,0.008536469985847362,0.0004425996501010449,0.008449250075500458,0.18565670771681017
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,archive_operations,20,0.026553040029830298,0.0007730457599599927,0.026720300113083795,0.5774928044008836
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,fitness_evaluation,20,1.0999480099329957,0.028986820996260307,1.0935972999723163,23.92238554371796
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,reward_and_controller_update,20,0.3029301450762432,0.006877792028139869,0.3024955501605291,6.588322046029932
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,environmental_survival,20,0.8359174849669216,0.036499808641290606,0.8296726499975193,18.180077765068102
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,final_postprocessing,20,0.0002459849987644702,5.4418616131295085e-05,0.00023185001919046044,0.00534984192459524
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,construction,20,0.0012350300035905092,0.00021254890027220207,0.0011596500116866082,0.026860236699506632
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,initialization,20,2.105668525010697,0.2469681415095244,2.0607380000001285,47.21549444086115
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,controller_selection,20,0.04507820026192348,0.004864975572316843,0.04396275040926412,1.0107903920252888
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,mutation_and_local_repair,20,0.009265339968260377,0.0009977971977449362,0.009161499794572592,0.2077571101851675
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,archive_operations,20,0.023887520021526144,0.0025732032445049996,0.023253249673871323,0.5356308722791958
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,fitness_evaluation,20,1.0976770800014493,0.13237463106589595,1.064888149878243,24.613259614737245
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,reward_and_controller_update,20,0.30743787001702005,0.038343067381966106,0.2989101499551907,6.893692369089795
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,environmental_survival,20,0.7612910499796272,0.12185792561528332,0.7361567498883232,17.07046142887463
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,final_postprocessing,20,0.00021882500441279263,2.043847707979241e-05,0.00021410000044852495,0.0049067223338588595
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,construction,20,0.0012272499967366456,0.00012560166475978848,0.001213699986692518,0.02751867860976437
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,initialization,20,13.060465549994841,0.4900018716329122,13.05792449999717,71.41569429110153
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,controller_selection,20,0.05354577944963239,0.005979505458815275,0.050372400059131905,0.2927927033776529
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,mutation_and_local_repair,20,0.14723158997658176,0.017487664817195776,0.15329499979270622,0.8050743811168757
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,archive_operations,20,0.04713841503835283,0.0031991795480552747,0.046520199975930154,0.2577567104985318
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,fitness_evaluation,20,2.6691243399662197,0.2126377656910901,2.543942799908109,14.594990290222922
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,reward_and_controller_update,20,0.9570557950821239,0.10200676040050072,0.8856611000664998,5.233259397949951
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,environmental_survival,20,0.9507544849562691,0.06352221031218218,0.9591842500376515,5.198803318581352
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,final_postprocessing,20,0.0013194400031352415,0.00037978073728606914,0.0011564999585971236,0.007214805899426278
large_1000_r20_g100\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,construction,20,0.022201835006126203,0.0070386185937288594,0.020111599995288998,0.1214014504635795
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,initialization,20,12.705264550007996,0.27381536577433097,12.64240385001176,73.76262168190773
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,controller_selection,20,0.047782010020455346,0.000826651807366197,0.04760185242048465,0.2774067642958095
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,mutation_and_local_repair,20,0.14160525000479537,0.011606149381418233,0.14268330016057007,0.8221138916992572
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,archive_operations,20,0.04387816503003705,0.0013823691335397128,0.043780550215160474,0.25474231366594413
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,fitness_evaluation,20,2.180598625022685,0.06900831469081774,2.1638348000124097,12.659844333389758
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,reward_and_controller_update,20,0.8764045650634216,0.012424808117581239,0.8754981500096619,5.088119032753976
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,environmental_survival,20,0.8758603049849626,0.027496310776169097,0.8725727002602071,5.084959236269147
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,final_postprocessing,20,0.0011441599926911294,0.0001318894091910253,0.0010746000043582171,0.006642619707151001
large_1000_r20_g100\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,construction,20,0.01850099000148475,0.004985056028965006,0.017698399984510615,0.10741071316137361
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,initialization,20,12.649014814995462,0.1590065877093353,12.623286949994508,71.19972038181992
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,controller_selection,20,0.047466700329096057,0.0008670587509322805,0.04712444971664809,0.2671841119889218
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,mutation_and_local_repair,20,0.14229130503954365,0.011072102437353933,0.14176155009772629,0.8009399372012187
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,archive_operations,20,0.04593582996458281,0.0011580644483449808,0.0457528498955071,0.25856703441502715
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,fitness_evaluation,20,2.7064879149518672,0.06184141471843621,2.686860149842687,15.234481544989547
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,reward_and_controller_update,20,0.8716233949817251,0.010201701121212685,0.871378849959001,4.906258938631314
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,environmental_survival,20,0.9325691600388382,0.020566779189245654,0.931005249847658,5.2493150180169
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,final_postprocessing,20,0.0010242900054436177,7.217821182134714e-05,0.0010168000007979572,0.005765600170775398
large_1000_r20_g100\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,construction,20,0.020537574993795715,0.004406358865103349,0.019714900001417845,0.11560343775907232
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,initialization,20,12.79424950000248,0.3318102774515682,12.646895000041695,74.4121926337881
