benchmark,algorithm,source_run,point,makespan,latency,cost,energy
CyberShake_30,ADARE,1,39,14666.744062307693,69833.4734336088,14671.351133846156,33833874.1076923
CyberShake_30,ADARE,1,40,14707.288135742187,84179.39836590146,12156.861903076924,35106898.146153845
CyberShake_30,ADARE,1,41,14708.171141538462,68618.94025910759,12841.917672307694,34702074.68461538
CyberShake_30,ADARE,1,42,14726.326597280648,84078.771731866,11052.659980000002,35420219.3
CyberShake_30,ADARE,1,43,14747.221622307692,66395.89093503308,17724.378441538454,34978438.72307692
CyberShake_30,ADARE,1,44,14956.022543076922,86551.51057372295,16493.76770769231,33054623.115384605
CyberShake_30,ADARE,1,45,15000.734081538461,93989.81162064604,17328.33886153846,32669485.423076916
CyberShake_30,ADARE,1,46,15098.884604615387,87163.3399520343,14119.341903076924,34154720.64615384
CyberShake_30,ADARE,1,47,15181.384604615387,95936.98138423078,14058.36921076923,34064912.76153846
CyberShake_30,ADARE,1,48,15196.573135634015,78325.50409449518,10860.506518461536,35505959.87692309
CyberShake_30,ADARE,1,49,15212.272654864784,80302.84028204627,10773.529595384616,37079438.53076923
CyberShake_30,ADARE,1,50,15498.998602322716,82106.91789416468,10149.673826153848,35903411.9923077
CyberShake_30,ADARE,1,51,15647.633476977162,74898.75573515624,13374.471903076925,34436893.14615385
CyberShake_30,ADARE,1,52,15648.898813317306,80923.29868131311,9914.28921076923,37744765.26153847
CyberShake_30,ADARE,1,53,15717.788842388823,65753.87541680889,12857.759979999999,39394101.8
CyberShake_30,ADARE,1,54,15719.757592388823,70266.37688288762,12262.064980000001,38700426.800000004
CyberShake_30,ADARE,1,55,15782.270877521034,78824.84891313704,13818.612672307694,34204082.18461538
CyberShake_30,ADARE,1,56,16074.050523061898,84633.30050823919,8227.81151846154,38893694.87692307
CyberShake_30,ADARE,1,57,16177.82562748197,78422.2906795643,12055.427287692306,35148881.41538462
CyberShake_30,ADARE,1,58,16384.57140099159,89539.53539142729,8187.548056923077,38865652.95384615
CyberShake_30,ADARE,1,59,16463.575627481972,98563.28955088639,10107.78228769231,35969006.41538462
CyberShake_30,ADARE,1,60,16584.12944404447,67087.93239958832,10709.540749230768,37208650.83846154
CyberShake_30,ADARE,1,61,16651.93288634315,63341.90429223557,14191.810364615383,42981905.06923076
CyberShake_30,ADARE,1,62,16688.30568359375,92835.66604458235,8845.675364615385,36701772.56923077
CyberShake_30,ADARE,1,63,16905.977468924277,103433.28240444712,6935.1669030769235,37393888.146153845
CyberShake_30,ADARE,1,64,16935.941596616583,91837.39319066709,8021.84998,38454996.79999999
CyberShake_30,ADARE,1,65,17157.33266913762,90961.41209023737,8324.601903076922,36821645.64615385
CyberShake_30,ADARE,1,66,17157.33266913762,90977.96257100659,8298.121133846153,36765241.607692316
CyberShake_30,ADARE,1,67,17230.36611538462,90880.84758794174,16198.596903076925,33237373.14615384
CyberShake_30,ADARE,1,68,17305.073577716346,111412.75174917368,14586.50998,33841259.3
CyberShake_30,ADARE,1,69,17419.835662301684,93319.2922113011,9893.397672307696,36055607.18461538
