benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent
Montage_25,NSGA-III,hv,0.8213452702442673,0.02909163127695499,0.8124412682324215,0.02548792423024836,1.0959563921731492
Montage_25,NSGA-III,igd,0.08525349118229861,0.008385419351069444,0.08382362992335271,0.009710972624062357,-1.7057973512401507
Montage_25,NSGA-III,spacing,0.051022337868727084,0.00995577445493125,0.049110029872590714,0.010895438660767106,-3.89392554046005
Montage_25,NSGA-III,epsilon,0.15626803279274237,0.03843467808686707,0.16521260753744163,0.056239038590464516,5.413978314380261
Montage_25,NSGA-III,coverage,0.2331805396946242,0.15639898285317663,0.2173547494690403,0.11196790938939519,7.28108783647174
Montage_25,NSGA-III,time,3.1346260600024833,0.3256129258292191,2.9895090599980905,0.32113389877433934,-4.854208403184621
Montage_25,NSGA-III,makespan_best,2282.780248461538,0.0,2963.4931349453122,164.95151448043967,22.969949835781748
Montage_25,NSGA-III,latency_best,11159.997890769233,0.0,12857.823799442309,351.73609266701754,13.20461327792279
Montage_25,NSGA-III,cost_best,1953.177467692308,318.0403978097829,1987.5926144615387,672.9192105412963,1.7314990264518624
Montage_25,NSGA-III,energy_best,10085397.571076924,244429.91355556462,9959194.281846154,171903.60716699556,-1.2672038084528154
Montage_25,NSGA-II,hv,0.8213452702442673,0.02909163127695499,0.8154162982246784,0.02720466019833454,0.7271098250669505
Montage_25,NSGA-II,igd,0.08525349118229861,0.008385419351069444,0.0851194827881713,0.010075428060925012,-0.15743563017270557
Montage_25,NSGA-II,spacing,0.051022337868727084,0.00995577445493125,0.05000496789783922,0.010432689262209555,-2.0345377942574965
Montage_25,NSGA-II,epsilon,0.15626803279274237,0.03843467808686707,0.15788775466298172,0.02275719133056579,1.0258692155681803
Montage_25,NSGA-II,coverage,0.16282211858760826,0.041362851713829,0.15152793349558372,0.07124538967031527,7.453533372679241
Montage_25,NSGA-II,time,3.1346260600024833,0.3256129258292191,3.180603200002224,0.3909337925867458,1.4455478130597583
Montage_25,NSGA-II,makespan_best,2282.780248461538,0.0,2964.665666439904,70.34440046741464,23.000415382325475
Montage_25,NSGA-II,latency_best,11159.997890769233,0.0,12784.586307589541,267.5972800215622,12.70739918941198
Montage_25,NSGA-II,cost_best,1953.177467692308,318.0403978097829,1584.3971387692309,557.5930700852344,-23.27575075082172
Montage_25,NSGA-II,energy_best,10085397.571076924,244429.91355556462,10061377.80476923,154622.58560072567,-0.23873237615934811
Montage_25,MOEA/D,hv,0.8213452702442673,0.02909163127695499,0.5813482018842056,0.037389385270376205,41.28284349761608
Montage_25,MOEA/D,igd,0.08525349118229861,0.008385419351069444,0.21648132260674818,0.03731176851582022,60.61854659989911
Montage_25,MOEA/D,spacing,0.051022337868727084,0.00995577445493125,0.11733371441876599,0.07303388158960442,56.51519418653406
Montage_25,MOEA/D,epsilon,0.15626803279274237,0.03843467808686707,0.29763104791848105,0.026813595349391896,47.49605799340429
Montage_25,MOEA/D,coverage,0.34475524475524477,0.22667484564287213,0.010520149953139643,0.01786241849496274,3177.0943978070927
Montage_25,MOEA/D,time,3.1346260600024833,0.3256129258292191,3.3157752799976152,0.5997628288958122,5.463253830496686
Montage_25,MOEA/D,makespan_best,2282.780248461538,0.0,3692.6792293737985,223.71181187111247,38.18092212551454
Montage_25,MOEA/D,latency_best,11159.997890769233,0.0,14849.826047726563,373.9408287543714,24.847618720235616
Montage_25,MOEA/D,cost_best,1953.177467692308,318.0403978097829,3107.483844,275.36789125313254,37.14601376082623
Montage_25,MOEA/D,energy_best,10085397.571076924,244429.91355556462,9294177.74923077,100186.0561697485,-8.513069614056375
Montage_25,QL-NSGA-III,hv,0.8213452702442673,0.02909163127695499,0.8306253532758794,0.017723268324494057,-1.1172405218565318
Montage_25,QL-NSGA-III,igd,0.08525349118229861,0.008385419351069444,0.07996925788581197,0.006400349127371084,-6.607830854241503
Montage_25,QL-NSGA-III,spacing,0.051022337868727084,0.00995577445493125,0.05690230046849972,0.00755139110670131,10.333435645589931
Montage_25,QL-NSGA-III,epsilon,0.15626803279274237,0.03843467808686707,0.17878139060833415,0.03954293634598432,12.592674069144577
Montage_25,QL-NSGA-III,coverage,0.1473710963065527,0.09952260595828248,0.21412124506018926,0.072502742325128,-31.173996179068155
Montage_25,QL-NSGA-III,time,3.1346260600024833,0.3256129258292191,3.1422836199984885,0.12493321125343985,0.2436941066449257
Montage_25,QL-NSGA-III,makespan_best,2282.780248461538,0.0,2876.6316890036055,106.56809463302436,20.64398590935925
Montage_25,QL-NSGA-III,latency_best,11159.997890769233,0.0,12951.819207718148,64.84555781886402,13.834514582176588
Montage_25,QL-NSGA-III,cost_best,1953.177467692308,318.0403978097829,2039.3612156923082,548.2467989888665,4.2260168202102
Montage_25,QL-NSGA-III,energy_best,10085397.571076924,244429.91355556462,9858999.964769233,188075.4050944533,-2.296354672042949
Montage_25,OVEA-style,hv,0.8213452702442673,0.02909163127695499,0.6562196060791129,0.014180807942386011,25.163171388885186
Montage_25,OVEA-style,igd,0.08525349118229861,0.008385419351069444,0.18858995233201847,0.04007709846225894,54.79425593564646
Montage_25,OVEA-style,spacing,0.051022337868727084,0.00995577445493125,0.04575737457072556,0.020671017045501935,-11.506261771779881
Montage_25,OVEA-style,epsilon,0.15626803279274237,0.03843467808686707,0.2980456181102684,0.03186021932642028,47.569088992636146
Montage_25,OVEA-style,coverage,0.08437284172172825,0.09795124456752334,0.0725533176386358,0.04181426868025556,16.290811320250864
Montage_25,OVEA-style,time,3.1346260600024833,0.3256129258292191,3.064494199998444,0.30106529720086694,-2.2885297026855227
Montage_25,OVEA-style,makespan_best,2282.780248461538,0.0,3149.594399996394,94.76999283961814,27.521453287313697
Montage_25,OVEA-style,latency_best,11159.997890769233,0.0,14285.623836987981,370.6369442258257,21.87952015176233
Montage_25,OVEA-style,cost_best,1953.177467692308,318.0403978097829,3088.1031292307694,255.51547931594678,36.751546630541625
Montage_25,OVEA-style,energy_best,10085397.571076924,244429.91355556462,10412781.622307692,285520.43043678865,3.144059513640434
Montage_25,QMOEA/D-AWA-style,hv,0.8213452702442673,0.02909163127695499,0.38346321729631694,0.12286481731607493,114.19140955300071
Montage_25,QMOEA/D-AWA-style,igd,0.08525349118229861,0.008385419351069444,0.41772061482503614,0.09797527106261768,79.5907867228417
Montage_25,QMOEA/D-AWA-style,spacing,0.051022337868727084,0.00995577445493125,0.09675598349675818,0.08823593768676893,47.26699473791552
Montage_25,QMOEA/D-AWA-style,epsilon,0.15626803279274237,0.03843467808686707,0.5842645343457111,0.0553041245318371,73.25389038584395
Montage_25,QMOEA/D-AWA-style,coverage,0.05,0.06846531968814577,0.006185567010309279,0.01383134831443169,708.3333333333333
Montage_25,QMOEA/D-AWA-style,time,3.1346260600024833,0.3256129258292191,3.035708820002037,0.17651444347544595,-3.2584561255904627
Montage_25,QMOEA/D-AWA-style,makespan_best,2282.780248461538,0.0,3991.6894859302893,657.055038190633,42.81167769918553
Montage_25,QMOEA/D-AWA-style,latency_best,11159.997890769233,0.0,16477.704425332933,1645.1874446956024,32.27213207191787
Montage_25,QMOEA/D-AWA-style,cost_best,1953.177467692308,318.0403978097829,5370.8754935384595,427.7265784229821,63.63390903322712
Montage_25,QMOEA/D-AWA-style,energy_best,10085397.571076924,244429.91355556462,9381817.044615384,237181.6020405564,-7.499405745343904
CyberShake_30,NSGA-III,hv,0.8122775566991599,0.013117352937265533,0.7887424304883242,0.02841446850005234,2.983879819456999
CyberShake_30,NSGA-III,igd,0.09953403744818556,0.007181435497931797,0.10418272030094382,0.012691690027179727,4.462047870635358
CyberShake_30,NSGA-III,spacing,0.06818059084327607,0.0075802274225853635,0.07008758945550833,0.01551660449463274,2.720879155706764
CyberShake_30,NSGA-III,epsilon,0.12345539583939966,0.01866395103322778,0.1426377905797214,0.021326670322838533,13.448325764412724
CyberShake_30,NSGA-III,coverage,0.14927470357607345,0.027243308697069972,0.14768006956779098,0.04708881901593516,1.0797895836245321
CyberShake_30,NSGA-III,time,3.344894419997581,0.333681861176527,3.228692540002521,0.25336436423837505,-3.599038265655652
CyberShake_30,NSGA-III,makespan_best,10806.649,0.0,11387.52614490745,318.2396067455682,5.100995049457875
CyberShake_30,NSGA-III,latency_best,47939.97545463942,0.0,51836.07432128786,955.4804480211619,7.516191991121528
CyberShake_30,NSGA-III,cost_best,2884.584602461538,842.8309409070042,4267.869693538461,917.5557364119582,32.41160556450943
CyberShake_30,NSGA-III,energy_best,32615531.74307692,409481.40378023736,32454978.633846153,713733.8673990364,-0.49469485419205533
CyberShake_30,NSGA-II,hv,0.8122775566991599,0.013117352937265533,0.7376889674207996,0.02069672441636106,10.111116279689835
CyberShake_30,NSGA-II,igd,0.09953403744818556,0.007181435497931797,0.11109749186685873,0.0068651644767878635,10.408384765815436
