benchmark,algorithm,run,generation,makespan_best,latency_best,cost_best,energy_best
CyberShake_30,ADARE,5,4,10960.541500000001,50762.74056379207,5672.485364615384,33414093.499999996
CyberShake_30,ADARE,5,5,10960.541500000001,50762.74056379207,4294.719210769232,33414093.499999996
CyberShake_30,ADARE,5,6,10913.666500000001,50762.74056379207,4294.719210769232,33184718.11538461
CyberShake_30,ADARE,5,7,10913.666500000001,50762.74056379207,4294.719210769232,33184718.11538461
CyberShake_30,ADARE,5,8,10913.666500000001,50762.74056379207,4294.719210769232,33184718.11538461
CyberShake_30,ADARE,5,9,10913.666500000001,50762.74056379207,2898.676133846153,33184718.11538461
CyberShake_30,ADARE,5,10,10913.666500000001,50762.74056379207,2898.676133846153,33139522.538461532
CyberShake_30,ADARE,5,11,10913.666500000001,50762.74056379207,2898.676133846153,32759767.376923073
CyberShake_30,ADARE,5,12,10913.666500000001,50762.74056379207,2898.676133846153,32759767.376923073
CyberShake_30,ADARE,5,13,10913.666500000001,49437.0017544321,2898.676133846153,32759767.376923073
CyberShake_30,ADARE,5,14,10877.104000000001,49437.0017544321,2898.676133846153,32629672.538461532
CyberShake_30,ADARE,5,15,10877.104000000001,49437.0017544321,2898.676133846153,32170099.65384615
CyberShake_30,NSGA-III,1,0,11270.597154203726,58614.14677041166,7351.765364615384,35177771.085384615
CyberShake_30,NSGA-III,1,1,11270.597154203726,58377.27193872897,7351.765364615384,34266324.26923076
CyberShake_30,NSGA-III,1,2,10885.829961538462,57362.169151490394,7351.765364615384,33732354.26923076
CyberShake_30,NSGA-III,1,3,10885.829961538462,57362.169151490394,7351.765364615384,33732354.26923076
CyberShake_30,NSGA-III,1,4,10885.829961538462,51993.577244918866,7351.765364615384,33732354.26923076
CyberShake_30,NSGA-III,1,5,10885.829961538462,50718.57194064903,6184.40421076923,33732354.26923076
CyberShake_30,NSGA-III,1,6,11270.597154203726,50718.57194064903,6184.40421076923,34051442.34615385
CyberShake_30,NSGA-III,1,7,11633.63580153846,51495.06601989482,5469.092287692308,34051442.34615385
CyberShake_30,NSGA-III,1,8,11633.63580153846,51495.06601989482,5469.092287692308,34032137.34615385
CyberShake_30,NSGA-III,1,9,11633.63580153846,51495.06601989482,5469.092287692308,33075984.269230764
CyberShake_30,NSGA-III,1,10,11633.63580153846,51495.06601989482,5763.632287692307,33075984.269230764
CyberShake_30,NSGA-III,1,11,11633.63580153846,51495.06601989482,5763.632287692307,33075984.269230764
CyberShake_30,NSGA-III,1,12,11633.63580153846,51495.06601989482,5287.228826153846,32759646.384615377
CyberShake_30,NSGA-III,1,13,11633.63580153846,51495.06601989482,5287.228826153846,32812363.884615377
CyberShake_30,NSGA-III,1,14,11633.63580153846,51495.06601989482,5287.228826153846,33285935.23076923
CyberShake_30,NSGA-III,1,15,11633.63580153846,51495.06601989482,5287.228826153846,33285935.23076923
CyberShake_30,NSGA-III,2,0,11710.069415384614,60203.67135307392,10309.757861538463,34313889.10769231
CyberShake_30,NSGA-III,2,1,11665.069415384614,57083.0405098858,10309.757861538463,34313889.10769231
CyberShake_30,NSGA-III,2,2,11539.538165384614,57083.0405098858,10030.440784615384,34313889.10769231
CyberShake_30,NSGA-III,2,3,11539.538165384614,57083.0405098858,10030.440784615384,34313889.10769231
CyberShake_30,NSGA-III,2,4,11351.46541230769,57083.0405098858,9354.612672307696,34313889.10769231
CyberShake_30,NSGA-III,2,5,11351.46541230769,56457.7267942548,9287.769784615386,34313889.10769231
CyberShake_30,NSGA-III,2,6,11351.46541230769,52999.10520620493,8835.063441538465,34268182.95384616
CyberShake_30,NSGA-III,2,7,11351.46541230769,52999.10520620493,8835.063441538465,32759516.576923076
CyberShake_30,NSGA-III,2,8,11351.46541230769,52999.10520620493,5400.019015384617,32759516.576923076
CyberShake_30,NSGA-III,2,9,11351.46541230769,52999.10520620493,5400.019015384617,32759516.576923076
CyberShake_30,NSGA-III,2,10,10830.683326923077,52999.10520620493,6474.009210769232,32309514.84615384
CyberShake_30,NSGA-III,2,11,10830.683326923077,52999.10520620493,6119.212707692308,32309514.84615384
CyberShake_30,NSGA-III,2,12,10830.683326923077,52999.10520620493,6006.6954,32309514.84615384
CyberShake_30,NSGA-III,2,13,10830.683326923077,52999.10520620493,5686.083441538462,32309514.84615384
CyberShake_30,NSGA-III,2,14,10830.683326923077,52999.10520620493,3329.858056923077,32309514.84615384
CyberShake_30,NSGA-III,2,15,10830.683326923077,52999.10520620493,3329.858056923077,32309514.84615384
CyberShake_30,NSGA-III,3,0,11463.181383076922,56482.92773734375,8327.449246153848,35695995.038461536
CyberShake_30,NSGA-III,3,1,11176.51946153846,55575.784072704315,8327.449246153848,35695995.038461536
CyberShake_30,NSGA-III,3,2,11176.51946153846,55575.784072704315,8327.449246153848,35695995.038461536
CyberShake_30,NSGA-III,3,3,11176.51946153846,53425.9535230559,8178.241133846155,33432252.56923076
CyberShake_30,NSGA-III,3,4,11176.51946153846,51527.22100707934,7790.045400000001,33432252.56923076
CyberShake_30,NSGA-III,3,5,11176.51946153846,51527.22100707934,7687.813826153847,33432252.56923076
CyberShake_30,NSGA-III,3,6,11176.51946153846,51527.22100707934,6092.74693846154,33432252.56923076
CyberShake_30,NSGA-III,3,7,11461.270325384616,51527.22100707934,4978.965784615386,32910363.499999996
CyberShake_30,NSGA-III,3,8,11461.270325384616,51527.22100707934,4978.965784615386,32910363.499999996
CyberShake_30,NSGA-III,3,9,11461.270325384616,51527.22100707934,4978.965784615386,32131411.769230764
CyberShake_30,NSGA-III,3,10,11461.270325384616,51527.22100707934,4888.782323076924,31747317.73076923
CyberShake_30,NSGA-III,3,11,11461.270325384616,51527.22100707934,4659.535015384617,31747317.73076923
CyberShake_30,NSGA-III,3,12,11461.270325384616,51527.22100707934,4659.535015384617,31344595.261538457
CyberShake_30,NSGA-III,3,13,11461.270325384616,51527.22100707934,4659.535015384617,31344595.261538457
CyberShake_30,NSGA-III,3,14,11455.100649921875,51527.22100707934,4659.535015384617,31344595.261538457
CyberShake_30,NSGA-III,3,15,11455.100649921875,51527.22100707934,4659.535015384617,31344595.261538457
CyberShake_30,NSGA-III,4,0,12182.582124999999,53894.68266748797,6920.953826153846,35141821.27769232
CyberShake_30,NSGA-III,4,1,11496.21124230769,52229.48817185095,6920.953826153846,35141821.27769232
CyberShake_30,NSGA-III,4,2,11496.21124230769,52229.48817185095,4253.059595384615,35141821.27769232
CyberShake_30,NSGA-III,4,3,11496.21124230769,52229.48817185095,4253.059595384615,33973221.47
CyberShake_30,NSGA-III,4,4,11496.21124230769,52229.48817185095,4253.059595384615,33973221.47
CyberShake_30,NSGA-III,4,5,11496.21124230769,52313.52670800481,4253.059595384615,33973221.47
CyberShake_30,NSGA-III,4,6,11496.21124230769,52313.52670800481,4212.985364615384,33973221.47
CyberShake_30,NSGA-III,4,7,11496.21124230769,53894.68266748797,4212.985364615384,33426110.06923077
CyberShake_30,NSGA-III,4,8,11496.21124230769,54512.49812170371,4212.985364615384,33426110.06923077
CyberShake_30,NSGA-III,4,9,11496.21124230769,54512.49812170371,4169.768056923076,32910039.684615377
CyberShake_30,NSGA-III,4,10,11496.21124230769,54512.49812170371,2643.523826153846,32630018.530769225
CyberShake_30,NSGA-III,4,11,11496.21124230769,52159.77223645434,2643.523826153846,32630018.530769225
CyberShake_30,NSGA-III,4,12,11496.21124230769,50590.60589008715,2643.523826153846,32630018.530769225
CyberShake_30,NSGA-III,4,13,11496.21124230769,50590.60589008715,2643.523826153846,32630018.530769225
CyberShake_30,NSGA-III,4,14,11496.21124230769,50590.60589008715,2643.523826153846,32602738.14615384
CyberShake_30,NSGA-III,4,15,11496.21124230769,50590.60589008715,3262.1419384615383,32630018.530769225
CyberShake_30,NSGA-III,5,0,12210.3089921875,60641.2095458774,6054.518056923077,34438935.61538461
CyberShake_30,NSGA-III,5,1,12210.3089921875,54933.57951223858,6054.518056923077,34438935.61538461
CyberShake_30,NSGA-III,5,2,12210.3089921875,54933.57951223858,6054.518056923077,34341526.192307696
CyberShake_30,NSGA-III,5,3,12210.3089921875,53990.6315421214,6054.518056923077,34341526.192307696
CyberShake_30,NSGA-III,5,4,12150.3089921875,52929.25539270734,5073.781133846154,34341526.192307696
CyberShake_30,NSGA-III,5,5,11980.47670846154,52929.25539270734,4619.628441538462,34341526.192307696
CyberShake_30,NSGA-III,5,6,11521.999703846153,53274.779653224155,3933.0253646153847,34202938.14615385
CyberShake_30,NSGA-III,5,7,11521.999703846153,53274.779653224155,3852.6227076923074,34202938.14615385
CyberShake_30,NSGA-III,5,8,11521.999703846153,53274.779653224155,3852.6227076923074,33452002.53846153
CyberShake_30,NSGA-III,5,9,11385.07354571214,53274.779653224155,3852.6227076923074,33604308.33846153
CyberShake_30,NSGA-III,5,10,11520.030953846153,53274.779653224155,3852.6227076923074,33604308.33846153
CyberShake_30,NSGA-III,5,11,11520.030953846153,52568.373483173076,3852.6227076923074,32811990.038461532
CyberShake_30,NSGA-III,5,12,11521.999703846153,52568.373483173076,4805.561169230769,32503134.269230764
CyberShake_30,NSGA-III,5,13,11521.999703846153,52568.373483173076,4805.561169230769,32811990.038461532
CyberShake_30,NSGA-III,5,14,11521.999703846153,52568.373483173076,4800.584630769231,32704829.299999993
CyberShake_30,NSGA-III,5,15,11521.999703846153,52568.373483173076,4800.584630769231,32704829.299999993
CyberShake_30,NSGA-II,1,0,11270.597154203726,58614.14677041166,7351.765364615384,35177771.085384615
CyberShake_30,NSGA-II,1,1,11270.597154203726,56450.387939381006,7351.765364615384,34642856.57692307
CyberShake_30,NSGA-II,1,2,11270.597154203726,56450.387939381006,7351.765364615384,34512999.931538455
CyberShake_30,NSGA-II,1,3,11270.597154203726,55837.3569271094,7351.765364615384,34512999.931538455
