benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent
CyberShake_1000,NSGA-III,hv,0.4419043799224423,0.03401713824641924,0.4145204248748026,0.020351892695866045,6.606177501605728
CyberShake_1000,NSGA-III,igd,0.1480681757377125,0.013256966272872515,0.15754297273209966,0.012331122045770778,6.014103218998518
CyberShake_1000,NSGA-III,spacing,0.058691238482180164,0.014611474046769218,0.057715304590302476,0.00903788809219811,-1.6909447135477267
CyberShake_1000,NSGA-III,epsilon,0.31805872125504997,0.04098264435264934,0.33319915576697995,0.036062308466710394,4.543959445839147
CyberShake_1000,NSGA-III,coverage,0.34531571270277095,0.17271830562003987,0.18346163712143915,0.09967818916841101,88.22229983383141
CyberShake_1000,NSGA-III,time,14.233769425000082,0.2871614726990454,14.303563644999485,0.26702372953282033,0.4879498685196783
CyberShake_1000,NSGA-III,makespan_best,111124.3117308837,2061.7357350151588,110575.38021651263,2829.4050000006887,-0.49643194831998966
CyberShake_1000,NSGA-III,latency_best,38892183.123543546,1079187.7748580135,38972870.81677393,1114911.2381886425,0.20703553918243844
CyberShake_1000,NSGA-III,cost_best,481719.5835320007,9161.984520132255,484351.9349609239,10847.108695387951,0.5434790776949343
CyberShake_1000,NSGA-III,energy_best,1212392354.3466542,8715567.597154979,1215846456.159308,6526973.379282087,0.2840902973525797
CyberShake_1000,QL-NSGA-III,hv,0.4419043799224423,0.03401713824641924,0.42696358974058796,0.03548655654877954,3.4993124802356066
CyberShake_1000,QL-NSGA-III,igd,0.1480681757377125,0.013256966272872515,0.15360776529847123,0.012340627397379558,3.6063213015272355
CyberShake_1000,QL-NSGA-III,spacing,0.058691238482180164,0.014611474046769218,0.058140909354196676,0.01191744530789356,-0.9465437229934962
CyberShake_1000,QL-NSGA-III,epsilon,0.31805872125504997,0.04098264435264934,0.31952120524971545,0.03199628456374224,0.45771109104402014
CyberShake_1000,QL-NSGA-III,coverage,0.3181649442392906,0.15517911248000701,0.24768476431315872,0.14832883378690803,28.455597630955083
CyberShake_1000,QL-NSGA-III,time,14.233769425000082,0.2871614726990454,14.396953099999973,0.3328894216262635,1.1334597943497575
CyberShake_1000,QL-NSGA-III,makespan_best,111124.3117308837,2061.7357350151588,110530.8824287138,2963.2182284267437,-0.5368900429729458
CyberShake_1000,QL-NSGA-III,latency_best,38892183.123543546,1079187.7748580135,39000522.31655381,1035627.7528746583,0.2777890822356461
