benchmark,run,algorithm,hv,igd,spacing,epsilon,coverage,time,makespan_best,latency_best,cost_best,energy_best
CyberShake_30,3,QL-NSGA-III,0.7789856497840576,0.0997260646103631,0.07351019231899845,0.1436788251137261,0.18095238095238095,3.450540899997577,11768.446127478965,53201.72187262922,4148.09421076923,33181673.53076923
CyberShake_30,3,OVEA-style,0.5912028767933736,0.2721146234932598,0.03875919536923967,0.4650001476615521,0.17142857142857143,3.4558475999947404,10808.61775,52232.437999789676,11841.341518461539,32927262.73076922
CyberShake_30,3,QMOEA/D-AWA-style,0.19324092057628206,0.5163085445567167,0.024507638772140038,0.8389331716030543,0.0,3.50300939999579,16427.92788538462,88980.12559230768,20171.090399999997,30842153.11538461
CyberShake_30,4,ADARE,0.8226956412541446,0.10451802567545197,0.05717189851403994,0.10015055301804515,nan,3.89919650000229,10806.649,47939.97545463942,2992.774595384615,32503520.06923077
CyberShake_30,4,NSGA-III,0.799015422738509,0.09831710298008489,0.08534499077075094,0.11136322188143519,0.14563106796116504,3.4757035999937216,11496.21124230769,50590.60589008715,3262.1419384615383,32630018.530769225
CyberShake_30,4,NSGA-II,0.7486957587382538,0.11502657034809469,0.0669960174458601,0.158467743012401,0.04854368932038835,3.145534299997962,11482.062203846153,53660.025653533645,2128.346518461538,32784671.41538461
CyberShake_30,4,MOEA/D,0.6131466933199357,0.22495504596149754,0.15786481160645977,0.30742902148088,0.009708737864077669,3.3444671999895945,14202.859966153845,60304.77793442907,8331.280015384616,30786887.923076913
CyberShake_30,4,QL-NSGA-III,0.7857386171660801,0.09286822142021155,0.04813690900695304,0.15544268378144932,0.22330097087378642,3.077921400006744,11496.21124230769,51199.673949396034,4558.697287692308,32197139.461538456
CyberShake_30,4,OVEA-style,0.6244341207281845,0.2708238047853021,0.07060834459407647,0.46567677999389623,0.24271844660194175,3.253224100000807,11497.42278076923,53094.17760073918,11856.414210769233,32330796.223076917
CyberShake_30,4,QMOEA/D-AWA-style,0.20466824398976133,0.49450071476466373,0.06281164215921674,0.8005827822658542,0.0,3.801136399997631,17696.77977230769,84110.47427923074,19316.795399999995,30766854.269230757
CyberShake_30,5,ADARE,0.7985939407445746,0.1004926953732215,0.07130904072531807,0.12914460365063446,nan,3.3326612999953795,10806.649,47939.97545463942,2898.676133846153,32170099.65384615
CyberShake_30,5,NSGA-III,0.7547668264002276,0.12180454312760164,0.06178959082266675,0.14893161410865505,0.1926605504587156,3.1981614000105765,11521.999703846153,52568.373483173076,4800.584630769231,32704829.299999993
CyberShake_30,5,NSGA-II,0.7645621116636678,0.09997312441862036,0.06706028544944931,0.12162248550353601,0.14678899082568808,3.085691299987957,10806.649,51747.88786106972,3302.138056923076,31983794.461538453
CyberShake_30,5,MOEA/D,0.6565477485087816,0.21921472190280208,0.17452220828479414,0.1618966106192603,0.027522935779816515,3.364506600002642,14445.192679230768,69705.72185214242,4385.544210769232,30817918.884615377
CyberShake_30,5,QL-NSGA-III,0.80749487664203,0.09128862399011504,0.09966532463464758,0.10442509621145192,0.1926605504587156,3.234914700005902,10887.885250000001,54369.56964830227,3405.0207492307686,31706918.115384612
CyberShake_30,5,OVEA-style,0.629576784541984,0.27331353844014733,0.04402591130757555,0.474760875818396,0.4036697247706422,2.9068972000095528,11482.062203846153,55074.97753929088,12058.77193846154,31592034.684615377
CyberShake_30,5,QMOEA/D-AWA-style,0.20733417587871208,0.5027738228230844,0.11389835854846522,0.8451595047202102,0.0,3.20573929999955,15953.87624230769,71924.66750435997,20309.78847692307,30806971.76923076
Epigenomics_24,1,ADARE,1.0676062342179877,0.04938200298429105,0.07029144467692502,0.09913557497136977,nan,3.395535999996355,261643.782125,830721.106,28195.273806153848,720815340.7392308
Epigenomics_24,1,NSGA-III,1.0814460130655312,0.04886346526235179,0.06864852135652162,0.04318258766744102,0.02459016393442623,3.0921666999929585,265308.7357089243,901197.358178137,31916.744380000004,716987533.7615384
