benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent,scale
CyberShake_30,NSGA-III,spacing,0.06211942183710175,0.003666803275596157,0.07297830847694434,0.011486902297346974,14.879608566527928,small
CyberShake_30,NSGA-III,epsilon,0.11662904078095813,0.006090380485732769,0.10810659916083495,0.017000495986222993,-7.883368532797862,small
CyberShake_30,NSGA-III,coverage,0.27740259740259743,0.11681036697003744,0.09086814086814086,0.11576629447927178,205.28037082340825,small
CyberShake_30,NSGA-III,time,2.918208499999764,0.03847014443035554,2.7881115000000136,0.02343139740842731,-4.666133330741971,small
CyberShake_30,NSGA-III,makespan_best,10806.649,0.0,11518.81225153846,143.9453238513517,6.182610116276041,small
CyberShake_30,NSGA-III,latency_best,47939.97545463942,0.0,53624.781840981064,5581.184766196856,10.601080677958507,small
CyberShake_30,NSGA-III,cost_best,2362.520749230769,1226.8395121396443,4165.993651538461,410.1293011408563,43.290342068612766,small
CyberShake_30,NSGA-III,energy_best,32051480.3576923,558076.5480374515,32427159.557692304,644053.6615619238,1.1585325545754905,small
CyberShake_30,NSGA-II,hv,0.8963064292913685,0.02184993257567622,0.8248048983364978,0.0013333367299006847,8.668902318485019,small
CyberShake_30,NSGA-II,igd,0.07987604165751411,0.004128778699401151,0.09460253086983583,0.003204461345003837,15.566696870492805,small
CyberShake_30,NSGA-II,spacing,0.06211942183710175,0.003666803275596157,0.06576816499786811,0.012193738834745935,5.547886520605579,small
CyberShake_30,NSGA-II,epsilon,0.11662904078095813,0.006090380485732769,0.15352707206119243,0.002436245088049757,24.033566709021564,small
CyberShake_30,NSGA-II,coverage,0.26975709887102295,0.07716971029712921,0.05446355446355446,0.05154177192924057,395.2983725135624,small
CyberShake_30,NSGA-II,time,2.918208499999764,0.03847014443035554,2.7908745500003533,0.015527428518434559,-4.562510701149026,small
CyberShake_30,NSGA-II,makespan_best,10806.649,0.0,10843.592074406552,21.03995871529944,0.3406903741219345,small
CyberShake_30,NSGA-II,latency_best,47939.97545463942,0.0,51751.48466354418,0.3491535270035311,7.36502389000975,small
CyberShake_30,NSGA-II,cost_best,2362.520749230769,1226.8395121396443,2909.3755746153847,1000.3279424806606,18.796295334159772,small
CyberShake_30,NSGA-II,energy_best,32051480.3576923,558076.5480374515,31956259.653846145,959411.1835665968,-0.29797199321071405,small
CyberShake_30,MOEA/D,hv,0.8963064292913685,0.02184993257567622,0.5603287798513346,0.009083217333391937,59.96080542733767,small
CyberShake_30,MOEA/D,igd,0.07987604165751411,0.004128778699401151,0.23344354516307608,0.003203656952596864,65.78357238290084,small
CyberShake_30,MOEA/D,spacing,0.06211942183710175,0.003666803275596157,0.11022622017567998,0.0466466490282087,43.6436977172083,small
CyberShake_30,MOEA/D,epsilon,0.11662904078095813,0.006090380485732769,0.34405298193971157,0.07095685884344664,66.10143004038981,small
CyberShake_30,MOEA/D,coverage,0.1867816091954023,0.028446824530493298,0.0,0.0,0.0,small
CyberShake_30,MOEA/D,time,2.918208499999764,0.03847014443035554,2.8022508499998366,0.08532608031129722,-4.138018193479512,small
CyberShake_30,MOEA/D,makespan_best,10806.649,0.0,15405.813300664062,752.200716990657,29.85343396616274,small
CyberShake_30,MOEA/D,latency_best,47939.97545463942,0.0,60497.3439229988,3048.628292446733,20.75689221057777,small
CyberShake_30,MOEA/D,cost_best,2362.520749230769,1226.8395121396443,9812.723056923076,3066.6165879171713,75.92390271766651,small
CyberShake_30,MOEA/D,energy_best,32051480.3576923,558076.5480374515,30793801.480769224,21599.52850586008,-4.084194923801465,small
CyberShake_30,QL-NSGA-III,hv,0.8963064292913685,0.02184993257567622,0.8542690100649533,0.018416782213207087,4.920864356676005,small
CyberShake_30,QL-NSGA-III,igd,0.07987604165751411,0.004128778699401151,0.08651900778125297,0.004519573298349349,7.6780424256995135,small
CyberShake_30,QL-NSGA-III,spacing,0.06211942183710175,0.003666803275596157,0.0703266327786553,0.006073718670224807,11.670132092609602,small
CyberShake_30,QL-NSGA-III,epsilon,0.11662904078095813,0.006090380485732769,0.12810335404286496,0.020456368191294226,8.95707481481506,small
CyberShake_30,QL-NSGA-III,coverage,0.19111842105263158,0.06559345799164683,0.08615888615888614,0.058143751704446654,121.82090504302585,small
CyberShake_30,QL-NSGA-III,time,2.918208499999764,0.03847014443035554,2.9475236499997663,0.2702227656181095,0.9945687797960332,small
CyberShake_30,QL-NSGA-III,makespan_best,10806.649,0.0,11258.201990384616,2.5873445069838743,4.010880163371362,small
CyberShake_30,QL-NSGA-III,latency_best,47939.97545463942,0.0,54559.937250126204,266.6970842004554,12.13337501679673,small
CyberShake_30,QL-NSGA-III,cost_best,2362.520749230769,1226.8395121396443,2924.2084415384616,293.2611150029623,19.208196116559385,small
CyberShake_30,QL-NSGA-III,energy_best,32051480.3576923,558076.5480374515,32639131.111538455,183541.64570436516,1.8004485224743305,small
CyberShake_100,NSGA-III,hv,0.6769018434031384,0.026253877906716475,0.677012273627062,0.02536550913652982,-0.01631140648779028,small
CyberShake_100,NSGA-III,igd,0.13305156073935354,0.028860320223615992,0.13534906804597074,0.004055490528771236,1.6974681390764135,small
CyberShake_100,NSGA-III,spacing,0.06092228443953425,0.006718431803850702,0.06209243809971169,0.002678616081050413,1.884534890220189,small
CyberShake_100,NSGA-III,epsilon,0.2446878497774374,0.014734628358610499,0.24305059065868845,0.020055440421059993,-0.673628940506518,small
CyberShake_100,NSGA-III,coverage,0.3016279495152735,0.15107018848104767,0.09207459207459208,0.08735818042631008,227.59086162544895,small
CyberShake_100,NSGA-III,time,2.9244126999997206,0.012677576057849022,2.9070152499998585,0.1271094442755115,-0.5984643527364706,small
CyberShake_100,NSGA-III,makespan_best,19767.723230769232,0.0,21811.930871927587,768.2067125169124,9.371970107375011,small
CyberShake_100,NSGA-III,latency_best,437841.6061786659,7436.7358775249995,442878.9811647432,1930.3537684811404,1.1374156824578439,small
CyberShake_100,NSGA-III,cost_best,41257.002550000005,1203.6772254302293,35062.9696446154,618.2271618552203,-17.66545437584127,small
CyberShake_100,NSGA-III,energy_best,148477550.1892307,2023028.1430212173,149225287.6584615,1135766.220211028,0.5010795964703922,small
CyberShake_100,NSGA-II,hv,0.6769018434031384,0.026253877906716475,0.6589356373344364,0.013405551427627628,2.726549461094552,small
CyberShake_100,NSGA-II,igd,0.13305156073935354,0.028860320223615992,0.13858554426706815,0.004018742923650801,3.9931895905752453,small
CyberShake_100,NSGA-II,spacing,0.06092228443953425,0.006718431803850702,0.05901033976521992,0.0014944257189136382,-3.2400163800466926,small
CyberShake_100,NSGA-II,epsilon,0.2446878497774374,0.014734628358610499,0.23595018846064658,0.03146331837491237,-3.703180477962683,small
CyberShake_100,NSGA-II,coverage,0.4342105263157895,0.055824219567358994,0.07653457653457653,0.03681130873309921,467.33903286134125,small
CyberShake_100,NSGA-II,time,2.9244126999997206,0.012677576057849022,3.03661534999992,0.21912836098137725,3.6949905426843843,small
